지점,지점명,일시,합계 일사량(MJ/m2)
90,속초,2022-01,
90,속초,2022-02,
90,속초,2022-03,
90,속초,2022-04,
90,속초,2022-05,
90,속초,2022-06,
90,속초,2022-07,
90,속초,2022-08,0.0
90,속초,2022-09,
90,속초,2022-10,
90,속초,2022-11,
90,속초,2022-12,
93,북춘천,2022-01,314.35
93,북춘천,2022-02,380.96
93,북춘천,2022-03,427.61
93,북춘천,2022-04,620.33
93,북춘천,2022-05,716.21
93,북춘천,2022-06,497.81
93,북춘천,2022-07,582.61
93,북춘천,2022-08,421.2
93,북춘천,2022-09,496.4
93,북춘천,2022-10,382.09
93,북춘천,2022-11,275.44
93,북춘천,2022-12,275.54
95,철원,2022-01,297.08
95,철원,2022-02,354.47
95,철원,2022-03,427.41
95,철원,2022-04,623.21
95,철원,2022-05,751.88
95,철원,2022-06,492.74
95,철원,2022-07,573.17
95,철원,2022-08,455.87
95,철원,2022-09,500.53
95,철원,2022-10,383.41
95,철원,2022-11,271.46
95,철원,2022-12,255.07
98,동두천,2022-01,291.73
98,동두천,2022-02,358.65
98,동두천,2022-03,420.72
98,동두천,2022-04,597.77
98,동두천,2022-05,715.03
98,동두천,2022-06,457.51
98,동두천,2022-07,534.41
98,동두천,2022-08,419.33
98,동두천,2022-09,483.74
98,동두천,2022-10,390.33
98,동두천,2022-11,275.56
98,동두천,2022-12,260.87
99,파주,2022-01,300.18
99,파주,2022-02,359.52
99,파주,2022-03,420.08
99,파주,2022-04,615.58
99,파주,2022-05,724.48
99,파주,2022-06,462.03
99,파주,2022-07,546.57
99,파주,2022-08,458.58
99,파주,2022-09,486.17
99,파주,2022-10,393.27
99,파주,2022-11,274.56
99,파주,2022-12,278.45
100,대관령,2022-01,338.91
100,대관령,2022-02,417.09
100,대관령,2022-03,475.59
